model,stage,n_cones,k_r_below_0.9,abs_ratio_err_large_k<0.3,one_minus_r_large_k<0.3,abs_ratio_err_mid_k0.3-1,one_minus_r_mid_k0.3-1,abs_ratio_err_small_k>1,one_minus_r_small_k>1
ufno-gnorm,x̄_HI 0.02–0.20,200,0.0495,0.4384,0.2751,0.7748,0.6224,0.8653,0.7386
ufno-gnorm,x̄_HI 0.20–0.40,200,0.0591,0.3514,0.18,0.6915,0.4965,0.8313,0.6338
ufno-gnorm,x̄_HI 0.40–0.60,200,0.0943,0.2147,0.1029,0.5598,0.3704,0.7399,0.5148
ufno-gnorm,x̄_HI 0.60–0.80,200,0.1757,0.1431,0.0595,0.3514,0.2223,0.603,0.373
ufno-gnorm,x̄_HI 0.80–0.98,200,0.8505,0.0458,0.027,0.166,0.076,0.3361,0.1654
ufno-gnorm,active 0.05–0.95,200,0.1844,0.1512,0.074,0.2826,0.1494,0.4766,0.2582
fno_whno-plain,x̄_HI 0.02–0.20,200,0.0362,0.4556,0.3887,0.5048,0.8031,0.5982,0.8892
fno_whno-plain,x̄_HI 0.20–0.40,200,0.0362,0.5327,0.2593,0.6613,0.6615,0.7004,0.8058
fno_whno-plain,x̄_HI 0.40–0.60,200,0.0518,0.4961,0.1603,0.5463,0.495,0.6091,0.6879
fno_whno-plain,x̄_HI 0.60–0.80,200,0.1064,0.4206,0.0959,0.43,0.3083,0.4964,0.4986
fno_whno-plain,x̄_HI 0.80–0.98,200,0.4884,0.2458,0.0582,0.2449,0.1086,0.2598,0.2165
fno_whno-plain,active 0.05–0.95,200,0.0711,0.3695,0.1183,0.3265,0.2125,0.3453,0.3302
